iter	Passed	Remaining
172	4788	9051
173	4816	9024
174	4845	8999
175	4874	8973
176	4902	8947
177	4931	8920
178	4972	8916
179	5002	8892
180	5032	8869
181	5065	8851
182	5101	8836
183	5129	8808
184	5158	8783
185	5187	8756
186	5215	8729
187	5244	8704
188	5272	8675
189	5302	8651
190	5332	8627
191	5367	8611
192	5396	8584
193	5425	8557
194	5453	8529
195	5482	8502
196	5510	8475
197	5538	8448
198	5567	8421
199	5598	8397
200	5627	8370
201	5655	8342
202	5683	8315
203	5711	8287
204	5738	8258
205	5766	8229
206	5795	8203
207	5824	8176
208	5854	8151
209	5884	8125
210	5911	8096
211	5942	8073
212	5970	8045
213	5998	8016
214	6027	7989
215	6055	7962
216	6083	7933
217	6111	7905
218	6138	7876
219	6167	7849
220	6196	7823
221	6225	7795
222	6254	7769
223	6284	7742
224	6312	7714
225	6340	7686
226	6368	7658
227	6398	7633
228	6426	7605
229	6454	7576
230	6483	7549
231	6511	7522
232	6539	7493
233	6567	7465
234	6595	7437
235	6623	7409
236	6652	7382
237	6682	7355
238	6710	7328
239	6738	7300
240	6766	7272
241	6794	7244
242	6822	7215
243	6851	7188
244	6879	7160
245	6907	7131
246	6935	7103
247	6963	7076
248	6991	7048
249	7019	7019
250	7047	6991
251	7075	6963
252	7104	6936
253	7133	6908
254	7163	6882
255	7191	6854
256	7220	6826
257	7249	6799
258	7277	6771
259	7307	6744
260	7336	6718
261	7365	6690
262	7393	6663
263	7422	6635
264	7451	6608
265	7480	6580
266	7512	6555
267	7540	6527
268	7570	6500
269	7598	6472
270	7626	6444
271	7655	6416
272	7684	6389
273	7711	6360
274	7739	6332
275	7766	6303
276	7795	6275
277	7824	6248
278	7853	6220
279	7881	6192
280	7911	6165
281	7939	6137
282	7967	6109
283	7995	6081
284	8023	6052
285	8054	6027
286	8085	6000
287	8128	5983
288	8158	5956
289	8186	5928
290	8215	5900
291	8243	5872
292	8271	5843
293	8304	5818
294	8335	5792
295	8363	5763
296	8390	5735
297	8419	5706
298	8447	5678
299	8477	5651
300	8505	5623
301	8533	5594
302	8561	5566
303	8590	5538
304	8619	5511
305	8647	5482
306	8676	5454
307	8705	5426
308	8734	5398
309	8762	5370
310	8791	5342
311	8820	5314
312	8847	5285
313	8875	5257
314	8904	5229
315	8933	5201
316	8960	5172
317	8990	5145
318	9020	5118
319	9049	5090
320	9077	5061
321	9106	5033
322	9134	5005
323	9163	4977
324	9191	4949
325	9219	4921
326	9249	4893
327	9278	4865
328	9305	4836
329	9334	4808
330	9362	4780
331	9391	4752
332	9420	4724
333	9449	4696
334	9478	4668
335	9506	4640
336	9534	4611
337	9561	4582
338	9588	4553
339	9616	4525
340	9648	4498
341	9676	4470
342	9705	4442
343	9733	4413
344	9761	4385
345	9790	4357
346	9820	4329
347	9848	4301
348	9876	4273
349	9904	4244
350	9932	4216
351	9961	4188
352	9990	4160
353	10019	4132
354	10047	4104
355	10076	4075
356	10105	4047
357	10134	4019
358	10164	3992
359	10194	3964
360	10226	3937
361	10255	3909
362	10283	3880
363	10311	3852
364	10340	3824
365	10367	3795
366	10395	3767
367	10424	3739
368	10453	3710
369	10481	3682
370	10511	3654
371	10539	3626
372	10567	3598
373	10597	3570
374	10626	3542
375	10654	3513
376	10682	3485
377	10710	3456
378	10739	3428
379	10768	3400
380	10796	3372
381	10826	3344
382	10854	3315
383	10882	3287
384	10911	3259
385	10940	3231
386	10969	3202
387	11002	3175
388	11031	3147
389	11058	3119
390	11087	3090
391	11116	3062
392	11144	3034
393	11172	3005
394	11202	2977
395	11230	2949
396	11258	2920
397	11285	2892
398	11314	2864
399	11343	2835
400	11371	2807
401	11400	2779
